gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
IL1R1,3,D,2,,317.3,YES,13,"THERAPEUTIC CORTICOSTEROID, ANAKINRA, EPOETIN ALFA",,,,0,,"Overexpressed (317 TPM, p99) | Surface protein (HPA) | Druggable (13 drugs)",Low tissue specificity,True
INSR,3,D,2,,277.9,YES,71,"TESOFENSINE, INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN, GO-6976",,,,0,,"Overexpressed (278 TPM, p99) | Surface protein (HPA) | Druggable (71 drugs)",Low tissue specificity,True
JAG1,3,D,2,,232.1,YES,3,"MARALIXIBAT, ODEVIXIBAT, HYDROCORTISONE BUTYRATE",,,,0,,"Overexpressed (232 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
KLF9,3,D,2,,772.1,YES,1,HG2+,,,,0,,"Overexpressed (772 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
KMT2E,3,D,2,,312.3,YES,1,DULOXETINE HYDROCHLORIDE,,,,0,,"Overexpressed (312 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
LAMP1,3,D,2,,296.9,YES,1,DIMETHYL SULFOXIDE,,,,0,,"Overexpressed (297 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
LNPEP,3,D,2,,344.5,YES,3,"TOSEDOSTAT, COMPOUND 17 [PMID: 23916253], INHIBITOR 19 [PMID: 21476495]",,,,0,,"Overexpressed (345 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
METAP2,3,D,2,,165.3,YES,8,"TOSEDOSTAT, BELORANIB, PPI-2458",,,,0,,"Overexpressed (165 TPM, p98) | Surface protein (HPA) | Druggable (8 drugs)",Low tissue specificity,True
MMP14,3,D,2,,498.2,YES,7,"CTS-1027, EPIGALLOCATECHIN GALLATE, PYROGALLOL RED",,,,0,,"Overexpressed (498 TPM, p100) | Surface protein (HPA) | Druggable (7 drugs)",Low tissue specificity,True
NRP1,3,D,2,,300.6,YES,3,"PEGAPTANIB, VESENCUMAB, PALIFERMIN",,,,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
P4HA1,3,D,2,,658.9,YES,3,"SAFIRONIL, PYRIDINE-2,5-DICARBOXYLIC ACID, LUFIRONIL",,,,0,,"Overexpressed (659 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
PAPOLA,3,D,2,,214.4,YES,1,ETOPOSIDE,,,,0,,"Overexpressed (214 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
PPP6R3,3,D,2,YES,199.8,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (200 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PPT1,3,D,2,,457.3,YES,2,"PLITIDEPSIN, LAMOTRIGINE",,,,0,,"Overexpressed (457 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
PRKD3,3,D,2,,197.8,YES,39,"DOVITINIB, TIGILANOL TIGLATE, GW441756X",,,,0,,"Overexpressed (198 TPM, p99) | Surface protein (HPA) | Druggable (39 drugs)",Low tissue specificity,True
PTPN12,3,D,2,,604.7,YES,2,"CRIZOTINIB, SUNITINIB",,,,0,,"Overexpressed (605 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
PTPRM,3,D,2,,158.9,YES,1,COMPOUND 8A [PMID: 23713581],,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
PTPRS,3,D,2,,172.9,YES,1,ETIDRONIC ACID,,,,0,,"Overexpressed (173 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
RALA,3,D,2,,161.0,YES,1,VITAMIN E,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
RRM2B,3,D,2,,190.6,YES,10,"FLUDARABINE, GALLIUM NITRATE, HYDROXYUREA",,,,0,,"Overexpressed (191 TPM, p99) | Surface protein (HPA) | Druggable (10 drugs)",Low tissue specificity,True
RTN4,3,D,2,,482.9,YES,5,"ATI-355, ANTISENSE OLIGONUCLEOTIDES, ATINUMAB",,,,0,,"Overexpressed (483 TPM, p100) | Surface protein (HPA) | Druggable (5 drugs)",Low tissue specificity,True
SERPINH1,3,D,2,,188.1,YES,6,"DL-TBOA, ANTISENSE OLIGONUCLEOTIDES, ASPARTIC ACID",,,,0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA) | Druggable (6 drugs)",Low tissue specificity,True
SLC30A9,3,D,2,,202.9,YES,1,ASPIRIN,,,,0,,"Overexpressed (203 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
SLC38A2,3,D,2,,695.3,YES,1,ALANINE,,,,0,,"Overexpressed (695 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
SLC39A6,3,D,2,,330.0,YES,1,LADIRATUZUMAB VEDOTIN,,,,0,,"Overexpressed (330 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
SLK,3,D,2,,300.7,YES,30,"CEDIRANIB, CYC-116, BAY 61-3606",,,,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA) | Druggable (30 drugs)",Low tissue specificity,True
SORT1,3,D,2,YES,124.7,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (125 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
STOM,3,D,2,,263.9,YES,9,"SR8185, MPI-0485520, BX-795",,,,0,,"Overexpressed (264 TPM, p99) | Surface protein (HPA) | Druggable (9 drugs)",Low tissue specificity,True
TAOK1,3,D,2,,236.5,YES,29,"RG-1530, TAMATINIB, SOTRASTAURIN",,,,0,,"Overexpressed (236 TPM, p99) | Surface protein (HPA) | Druggable (29 drugs)",Low tissue specificity,True
TMEM167A,3,D,2,,211.1,YES,1,FLUOROURACIL,,,,0,,"Overexpressed (211 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
TPP1,3,D,2,,323.1,YES,1,CERLIPONASE ALFA,,,,0,,"Overexpressed (323 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
TXNIP,3,D,2,,2812.7,YES,1,RECOMBINANT FAS LIGAND,,,,0,,"Overexpressed (2813 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
UBE2K,3,D,2,,181.7,YES,3,"HISTIDINE, DEXTROAMPHETAMINE SULFATE, HISTAMINE",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
UTRN,3,D,2,,391.9,YES,2,"ENZYME INHIBITOR, EZUTROMID",,,,0,,"Overexpressed (392 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
YES1,3,D,2,,343.7,YES,175,"SB203580, SB-633825, GW643971X",,,,0,,"Overexpressed (344 TPM, p100) | Surface protein (HPA) | Druggable (175 drugs)",Low tissue specificity,True
AFDN,3,D,2,,203.8,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (204 TPM, p99) | Surface protein (HPA) | COSMIC (oncogene, fusion)",Low tissue specificity,True
ARHGEF12,3,D,2,,188.4,YES,0,,,,"TSG, fusion",0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA) | COSMIC (TSG, fusion)",Low tissue specificity,True
CREB3L2,3,D,2,,225.7,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA) | COSMIC (oncogene, fusion)",Low tissue specificity,True
DDX3X,3,D,2,,301.0,YES,0,,,,TSG,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA) | COSMIC (TSG)",Low tissue specificity,True
EIF3E,3,D,2,,165.1,YES,0,,,,"TSG, fusion",0,,"Overexpressed (165 TPM, p98) | Surface protein (HPA) | COSMIC (TSG, fusion)",Low tissue specificity,True
GOLGA5,3,D,2,,208.3,YES,0,,,,fusion,0,,"Overexpressed (208 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)",Low tissue specificity,True
HERPUD1,3,D,2,,194.5,YES,0,,,,fusion,0,,"Overexpressed (195 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)",Low tissue specificity,True
KTN1,3,D,2,,206.7,YES,0,,,,fusion,0,,"Overexpressed (207 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)",Low tissue specificity,True
MSN,3,D,2,,160.3,YES,0,,,,fusion,0,,"Overexpressed (160 TPM, p98) | Surface protein (HPA) | COSMIC (fusion)",Low tissue specificity,True
RPN1,3,D,2,,225.9,YES,0,,,,fusion,0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)",Low tissue specificity,True
BAZ1B,3,D,2,YES,562.0,,0,,,,,0,,"Mutated (HIGH) | Overexpressed (562 TPM, p100)",Low tissue specificity,True
CDC40,3,D,2,YES,80.8,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (81 TPM, p96)",Low tissue specificity,True
EP400,3,D,2,YES,81.7,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (82 TPM, p96)",Low tissue specificity,True
EXOC4,3,D,2,YES,120.4,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (120 TPM, p98)",Low tissue specificity,True
NME1,3,D,2,YES,27.9,,5,"LAMIVUDINE, LYCOPENE, TENOFOVIR",,,,0,,Mutated (MODERATE) | Expressed (28 TPM) | Druggable (5 drugs),Low tissue specificity,True
PUM1,3,D,2,YES,150.8,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (151 TPM, p98)",Low tissue specificity,True
SMC5,3,D,2,YES,319.7,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (320 TPM, p99)",Low tissue specificity,True
TEP1,3,D,2,YES,42.8,,1,HTERT VACCINE V934/V935,,,,0,,Mutated (MODERATE) | Expressed (43 TPM) | Druggable (1 drugs),Low tissue specificity,True
VPS13B,3,D,2,YES,116.3,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (116 TPM, p97)",Low tissue specificity,True
ADNP,3,D,1,,299.3,YES,0,,,,,0,,"Overexpressed (299 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
AHNAK,3,D,1,,2747.9,YES,0,,,,,0,,"Overexpressed (2748 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
AKAP11,3,D,1,,188.0,YES,0,,,,,0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ANO6,3,D,1,,416.4,YES,0,,,,,0,,"Overexpressed (416 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
ANTXR2,3,D,1,,247.1,YES,0,,,,,0,,"Overexpressed (247 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
APOL2,3,D,1,,253.4,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ARHGAP18,3,D,1,,214.9,YES,0,,,,,0,,"Overexpressed (215 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ARHGEF6,3,D,1,,274.1,YES,0,,,,,0,,"Overexpressed (274 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ARL6IP5,3,D,1,,259.9,YES,0,,,,,0,,"Overexpressed (260 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ASAP1,3,D,1,,406.1,YES,0,,,,,0,,"Overexpressed (406 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
ATG14,3,D,1,,186.3,YES,0,,,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ATL3,3,D,1,,252.9,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ATP11B,3,D,1,,157.2,YES,0,,,,,0,,"Overexpressed (157 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
ATP6V0E1,3,D,1,,231.0,YES,0,,,,,0,,"Overexpressed (231 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ATRN,3,D,1,,181.6,YES,0,,,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ATXN10,3,D,1,,158.7,YES,0,,,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
BAMBI,3,D,1,,366.7,YES,0,,,,,0,,"Overexpressed (367 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
BPNT2,3,D,1,,632.4,YES,0,,,,,0,,"Overexpressed (632 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
C1orf43,3,D,1,,209.2,YES,0,,,,,0,,"Overexpressed (209 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
C3orf38,3,D,1,,163.3,YES,0,,,,,0,,"Overexpressed (163 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
C4orf3,3,D,1,,473.0,YES,0,,,,,0,,"Overexpressed (473 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
C5orf15,3,D,1,,266.2,YES,0,,,,,0,,"Overexpressed (266 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CALD1,3,D,1,,393.5,YES,0,,,,,0,,"Overexpressed (393 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
CAVIN1,3,D,1,,225.7,YES,0,,,,,0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CCDC47,3,D,1,,223.2,YES,0,,,,,0,,"Overexpressed (223 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CD164,3,D,1,,185.3,YES,0,,,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CDC42EP3,3,D,1,,375.5,YES,0,,,,,0,,"Overexpressed (375 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
CDV3,3,D,1,,411.3,YES,0,,,,,0,,"Overexpressed (411 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
CKAP5,3,D,1,,252.7,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CLDN12,3,D,1,,239.9,YES,0,,,,,0,,"Overexpressed (240 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CLSTN1,3,D,1,,195.9,YES,0,,,,,0,,"Overexpressed (196 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CLTA,3,D,1,,221.4,YES,0,,,,,0,,"Overexpressed (221 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CMTM6,3,D,1,,175.7,YES,0,,,,,0,,"Overexpressed (176 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
CNOT1,3,D,1,,160.6,YES,0,,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
CYBRD1,3,D,1,,222.4,YES,0,,,,,0,,"Overexpressed (222 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
DAD1,3,D,1,,220.4,YES,0,,,,,0,,"Overexpressed (220 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
DDX17,3,D,1,,555.6,YES,0,,,,,0,,"Overexpressed (556 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
DNAJB9,3,D,1,,213.8,YES,0,,,,,0,,"Overexpressed (214 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
DNAJC1,3,D,1,,199.7,YES,0,,,,,0,,"Overexpressed (200 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
DNAJC3,3,D,1,,235.0,YES,0,,,,,0,,"Overexpressed (235 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
EIF3L,3,D,1,,257.4,YES,0,,,,,0,,"Overexpressed (257 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
EIF5B,3,D,1,,195.2,YES,0,,,,,0,,"Overexpressed (195 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ELOVL5,3,D,1,,412.2,YES,0,,,,,0,,"Overexpressed (412 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
EMC7,3,D,1,,262.6,YES,0,,,,,0,,"Overexpressed (263 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ENTPD4,3,D,1,,158.0,YES,0,,,,,0,,"Overexpressed (158 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
ERBIN,3,D,1,,267.7,YES,0,,,,,0,,"Overexpressed (268 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ERGIC2,3,D,1,,180.4,YES,0,,,,,0,,"Overexpressed (180 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
FCHSD2,3,D,1,,200.4,YES,0,,,,,0,,"Overexpressed (200 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
FNDC3A,3,D,1,,240.1,YES,0,,,,,0,,"Overexpressed (240 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
FNDC3B,3,D,1,,277.2,YES,0,,,,,0,,"Overexpressed (277 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
FRS2,3,D,1,,209.5,YES,0,,,,,0,,"Overexpressed (209 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
GABARAPL1,3,D,1,,225.1,YES,0,,,,,0,,"Overexpressed (225 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
GINM1,3,D,1,,210.1,YES,0,,,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
GNS,3,D,1,,456.4,YES,0,,,,,0,,"Overexpressed (456 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
GOLIM4,3,D,1,,584.5,YES,0,,,,,0,,"Overexpressed (584 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
GPBP1,3,D,1,,223.0,YES,0,,,,,0,,"Overexpressed (223 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
GPX4,3,D,1,,355.6,YES,0,,,,,0,,"Overexpressed (356 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
GTF3C1,3,D,1,,183.7,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
HEG1,3,D,1,,169.3,YES,0,,,,,0,,"Overexpressed (169 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
HELZ,3,D,1,,242.3,YES,0,,,,,0,,"Overexpressed (242 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
HIPK3,3,D,1,,328.3,YES,0,,,,,0,,"Overexpressed (328 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
HUWE1,3,D,1,,479.2,YES,0,,,,,0,,"Overexpressed (479 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
INSIG2,3,D,1,,175.3,YES,0,,,,,0,,"Overexpressed (175 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
IQGAP1,3,D,1,,395.3,YES,0,,,,,0,,"Overexpressed (395 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
ITGA6,3,D,1,,161.9,YES,0,,,,,0,,"Overexpressed (162 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
ITM2B,3,D,1,,267.3,YES,0,,,,,0,,"Overexpressed (267 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
KDELR2,3,D,1,,301.5,YES,0,,,,,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
KIDINS220,3,D,1,,289.1,YES,0,,,,,0,,"Overexpressed (289 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
LAPTM4A,3,D,1,,1362.9,YES,0,,,,,0,,"Overexpressed (1363 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
LEMD3,3,D,1,,169.9,YES,0,,,,,0,,"Overexpressed (170 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
LGMN,3,D,1,,196.8,YES,0,,,,,0,,"Overexpressed (197 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
LMAN1,3,D,1,,799.2,YES,0,,,,,0,,"Overexpressed (799 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
LYSMD3,3,D,1,,171.9,YES,0,,,,,0,,"Overexpressed (172 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MAN1A2,3,D,1,,179.5,YES,0,,,,,0,,"Overexpressed (180 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MARCHF7,3,D,1,,184.0,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MCFD2,3,D,1,,211.6,YES,0,,,,,0,,"Overexpressed (212 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MFSD1,3,D,1,,267.6,YES,0,,,,,0,,"Overexpressed (268 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MFSD14B,3,D,1,,236.9,YES,0,,,,,0,,"Overexpressed (237 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MKLN1,3,D,1,,245.2,YES,0,,,,,0,,"Overexpressed (245 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MTDH,3,D,1,,272.5,YES,0,,,,,0,,"Overexpressed (272 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
MTPN,3,D,1,,392.5,YES,0,,,,,0,,"Overexpressed (392 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
MYO1E,3,D,1,,223.2,YES,0,,,,,0,,"Overexpressed (223 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
NDFIP1,3,D,1,,252.8,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
NEO1,3,D,1,,310.7,YES,0,,,,,0,,"Overexpressed (311 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
NKTR,3,D,1,,240.5,YES,0,,,,,0,,"Overexpressed (240 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
NSUN2,3,D,1,,178.7,YES,0,,,,,0,,"Overexpressed (179 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
ODR4,3,D,1,,169.4,YES,0,,,,,0,,"Overexpressed (169 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
OGT,3,D,1,,345.9,YES,0,,,,,0,,"Overexpressed (346 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
OS9,3,D,1,,293.5,YES,0,,,,,0,,"Overexpressed (293 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
OSBPL8,3,D,1,,559.0,YES,0,,,,,0,,"Overexpressed (559 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
OST4,3,D,1,,308.6,YES,0,,,,,0,,"Overexpressed (309 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
OSTC,3,D,1,,180.6,YES,0,,,,,0,,"Overexpressed (181 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PALLD,3,D,1,,408.8,YES,0,,,,,0,,"Overexpressed (409 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PDAP1,3,D,1,,259.8,YES,0,,,,,0,,"Overexpressed (260 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PDCD6IP,3,D,1,,198.2,YES,0,,,,,0,,"Overexpressed (198 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PDIA4,3,D,1,,549.8,YES,0,,,,,0,,"Overexpressed (550 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PDIA6,3,D,1,,340.4,YES,0,,,,,0,,"Overexpressed (340 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PLP2,3,D,1,,348.1,YES,0,,,,,0,,"Overexpressed (348 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PLXNB2,3,D,1,,420.0,YES,0,,,,,0,,"Overexpressed (420 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PNISR,3,D,1,,455.5,YES,0,,,,,0,,"Overexpressed (456 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PPP1R12A,3,D,1,,252.0,YES,0,,,,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PRDX6,3,D,1,,483.0,YES,0,,,,,0,,"Overexpressed (483 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PSAP,3,D,1,,1307.5,YES,0,,,,,0,,"Overexpressed (1307 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
PTAR1,3,D,1,,201.2,YES,0,,,,,0,,"Overexpressed (201 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PTPRA,3,D,1,,283.2,YES,0,,,,,0,,"Overexpressed (283 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PTTG1IP,3,D,1,,608.9,YES,0,,,,,0,,"Overexpressed (609 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
RABGAP1,3,D,1,,213.4,YES,0,,,,,0,,"Overexpressed (213 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RAPGEF2,3,D,1,,188.6,YES,0,,,,,0,,"Overexpressed (189 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RC3H1,3,D,1,,184.7,YES,0,,,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RCN3,3,D,1,,313.9,YES,0,,,,,0,,"Overexpressed (314 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
REEP3,3,D,1,,318.5,YES,0,,,,,0,,"Overexpressed (318 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RNF145,3,D,1,,199.3,YES,0,,,,,0,,"Overexpressed (199 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RNF149,3,D,1,,188.5,YES,0,,,,,0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RNF19A,3,D,1,,429.8,YES,0,,,,,0,,"Overexpressed (430 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
RPL36AL,3,D,1,,1864.6,YES,0,,,,,0,,"Overexpressed (1865 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
RPN2,3,D,1,,338.9,YES,0,,,,,0,,"Overexpressed (339 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
RYK,3,D,1,,175.6,YES,0,,,,,0,,"Overexpressed (176 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
S100A6,3,D,1,,158.8,YES,0,,,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
SARAF,3,D,1,,465.8,YES,0,,,,,0,,"Overexpressed (466 TPM, p100) | Surface protein (HPA)",Low tissue specificity,True
SCAF11,3,D,1,,295.8,YES,0,,,,,0,,"Overexpressed (296 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
SDCBP,3,D,1,,167.0,YES,0,,,,,0,,"Overexpressed (167 TPM, p98) | Surface protein (HPA)",Low tissue specificity,True
SEC11A,3,D,1,,212.0,YES,0,,,,,0,,"Overexpressed (212 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
SEC62,3,D,1,,171.8,YES,0,,,,,0,,"Overexpressed (172 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
SEC63,3,D,1,,178.9,YES,0,,,,,0,,"Overexpressed (179 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
SELENOF,3,D,1,,185.1,YES,0,,,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
SEPTIN2,3,D,1,,223.7,YES,0,,,,,0,,"Overexpressed (224 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
